Date,ALRS.ME,VTBR.ME,GAZP.ME,GAZA.ME,LNTA.ME,NVTK.ME,SBER.ME,SNGS.ME,TATN.ME,YNDX.ME
2016-03-18,44.28207015991211,0.06781890988349915,109.60862731933594,440.0,,550.9818725585938,84.83943939208984,34.71632385253906,251.0772247314453,1032.0
2016-03-21,44.843719482421875,0.06584276258945465,109.06295013427734,450.0,,552.7869262695312,84.5903549194336,34.792354583740234,248.73204040527344,1022.0
2016-03-22,44.711204528808594,0.06423384696245193,108.8592300415039,441.0,,556.1260986328125,84.15258026123047,35.59731674194336,247.97329711914062,1023.5
2016-03-23,44.93207550048828,0.06439999490976334,106.22542572021484,437.0,,549.1768188476562,82.34860229492188,35.08750534057617,246.9041748046875,1020.5
2016-03-24,44.603919982910156,0.06470603495836258,106.07991027832031,445.0,,547.3718872070312,81.56361389160156,34.74763107299805,240.3857879638672,1028.0
2016-03-25,44.401981353759766,0.06441747397184372,106.2545166015625,452.0,,548.7255249023438,82.34860229492188,34.662662506103516,240.55824279785156,1032.5
2016-03-28,43.499549865722656,0.06342940032482147,105.57061004638672,446.0,,543.4910278320312,81.60890197753906,34.389869689941406,237.97161865234375,1013.0
2016-03-29,43.69518280029297,0.063831627368927,105.27957916259766,428.0,,539.249267578125,80.80126953125,34.40328598022461,240.5926971435547,1036.0
2016-03-30,44.1747932434082,0.06531812250614166,107.53504943847656,435.0,,541.1444702148438,82.38634490966797,35.150115966796875,246.86965942382812,1041.5
2016-03-31,43.922359466552734,0.06704943627119064,107.49867248535156,446.0,,539.7005004882812,82.95244598388672,35.51681900024414,249.0079803466797,1022.0
2016-04-01,44.36411666870117,0.06514323502779007,107.09850311279297,436.0,,532.4804077148438,81.91081237792969,35.458683013916016,245.55906677246094,1028.0
2016-04-04,44.30100631713867,0.0660613551735878,106.50189208984375,441.0,,532.4804077148438,81.66927337646484,35.351356506347656,247.62841796875,1033.0
2016-04-05,44.23789978027344,0.064688540995121,105.01764678955078,443.0,,541.5054931640625,80.66539764404297,34.81471252441406,242.1102294921875,1039.0
2016-04-06,44.26945495605469,0.06461858749389648,104.9157943725586,448.0,,542.949462890625,81.51831817626953,34.568748474121094,242.07577514648438,1041.0
2016-04-07,44.23789978027344,0.0650295540690422,104.69023895263672,447.0,,534.0147094726562,81.90327453613281,33.8487548828125,249.5597686767578,1060.0
2016-04-08,45.36751174926758,0.06527439504861832,106.00714874267578,438.0,,527.4263916015625,85.23194122314453,33.62962341308594,247.7318572998047,1018.0
2016-04-11,45.24761199951172,0.06727678328752518,107.17125701904297,446.0,,538.617431640625,88.57569122314453,33.80850601196289,248.21473693847656,1045.0
2016-04-12,45.27915954589844,0.06566787511110306,108.33537292480469,449.0,,540.60302734375,89.02857971191406,33.25397872924805,245.283203125,1088.5
2016-04-13,44.93207550048828,0.06715437769889832,111.40572357177734,452.0,,550.5307006835938,90.19851684570312,33.75484085083008,246.1109619140625,1127.0
2016-04-14,45.18450164794922,0.06544927507638931,109.44855499267578,459.0,,543.0398559570312,90.04756164550781,33.191368103027344,241.62733459472656,1109.5
2016-04-15,45.08984375,0.06581652909517288,107.67328643798828,450.0,,543.581298828125,90.04756164550781,32.96776580810547,240.31680297851562,1109.0
2016-04-18,44.65440368652344,0.0642688199877739,106.44369506835938,450.0,,545.1156005859375,89.21727752685547,32.28355026245117,237.62672424316406,1130.0
2016-04-19,46.509742736816406,0.0641813799738884,113.46475982666016,441.0,,545.6571044921875,91.70811462402344,32.02864074707031,237.28184509277344,1148.0
2016-04-20,47.80974578857422,0.06419013440608978,117.83016967773438,449.0,,545.2960815429688,93.40641021728516,31.80504035949707,235.90228271484375,1186.0
2016-04-21,47.380619049072266,0.06264243274927139,117.72103881835938,438.0,,548.4548950195312,89.94943237304688,32.13596725463867,229.69430541992188,1200.0
2016-04-22,47.33013916015625,0.06295721977949142,117.28450775146484,444.0,,551.4332885742188,91.51941680908203,32.5518684387207,236.55758666992188,1196.0
2016-04-25,47.21023178100586,0.0625549852848053,116.62969207763672,440.0,,547.913330078125,90.63630676269531,32.37746047973633,243.35179138183594,1178.0
2016-04-26,46.82528305053711,0.061383288353681564,118.5941390991211,450.0,,551.343017578125,90.34947967529297,32.10913848876953,243.48976135253906,1173.0
2016-04-27,46.80004119873047,0.06196913868188858,117.13170623779297,449.0,,553.2380981445312,91.17976379394531,32.02864074707031,243.73118591308594,1194.0
2016-04-28,46.9010124206543,0.062476303428411484,119.86739349365234,448.0,,582.4473266601562,93.88948822021484,32.0375862121582,246.1798553466797,1300.0
2016-04-29,46.63595962524414,0.06125212833285332,122.5739517211914,440.0,,559.3538208007812,93.25545501708984,30.499204635620117,235.17803955078125,1301.0
2016-05-04,46.41509246826172,0.061295848339796066,118.15757751464844,435.0,,568.6642456054688,91.30052947998047,30.16827964782715,227.90090942382812,1337.5
2016-05-05,45.81556701660156,0.061383288353681564,116.77519989013672,445.0,,557.8020629882812,91.27033233642578,29.926788330078125,223.2449493408203,1316.5
2016-05-06,45.84080505371094,0.060333993285894394,115.88028717041016,435.0,,564.9218139648438,91.0589828491211,29.403560638427734,220.72726440429688,1291.0
2016-05-10,45.752464294433594,0.0598968006670475,114.11957550048828,430.0,,569.4857177734375,90.23625946044922,29.515361785888672,221.5550537109375,1291.5
2016-05-11,45.82819366455078,0.06077120080590248,116.01126098632812,431.0,,573.9583129882812,93.17996978759766,30.391878128051758,222.69313049316406,1286.0
2016-05-12,46.11848449707031,0.060333993285894394,115.7056655883789,440.0,,566.1996459960938,91.48167419433594,30.02517318725586,220.8307342529297,1277.0
2016-05-13,46.37721633911133,0.06015912443399429,116.30229187011719,443.0,,564.4655151367188,91.38355255126953,29.89995574951172,224.83143615722656,1276.5
2016-05-16,48.100040435791016,0.06084990128874779,115.00720977783203,443.0,,571.7677612304688,92.53839111328125,29.89101219177246,221.5550537109375,1297.0
2016-05-17,48.308292388916016,0.06024656072258949,111.74042510986328,443.0,,577.1530151367188,92.62141418457031,29.980451583862305,222.65859985351562,1279.5
2016-05-18,49.22333908081055,0.060333993285894394,110.66361236572266,430.0,,583.4512939453125,92.93089294433594,30.548397064208984,224.52099609375,1267.5
2016-05-19,48.308292388916016,0.05959949269890785,107.92066955566406,435.0,,586.5548706054688,90.95331573486328,30.2487735748291,218.65794372558594,1261.0
2016-05-20,46.440330505371094,0.0598968006670475,106.7347183227539,430.0,,597.4168701171875,92.0100326538086,30.09672737121582,216.2437286376953,1278.0
2016-05-23,46.16265869140625,0.0598968006670475,104.9958267211914,436.0,,592.122802734375,91.71566009521484,29.743432998657227,210.86354064941406,1288.0
2016-05-24,46.56023025512695,0.060333993285894394,106.4800796508789,436.0,,594.4959106445312,93.21772003173828,29.83734893798828,210.00131225585938,1289.5
2016-05-25,45.27915954589844,0.06112096458673477,106.6255874633789,435.0,,599.97265625,96.51619720458984,30.011760711669922,211.00146484375,1305.0
2016-05-26,44.51557159423828,0.06120840460062027,108.31354522705078,430.0,,595.1349487304688,99.7542724609375,29.989395141601562,213.76055908203125,1303.5
2016-05-27,45.12139892578125,0.060526374727487564,109.04840087890625,430.0,,602.3460083007812,100.53926086425781,30.230886459350586,213.82955932617188,1311.0
2016-05-30,46.04275894165039,0.061094731092453,108.84468078613281,439.0,,613.2080078125,101.4827651977539,30.230886459350586,216.27825927734375,1318.0
2016-05-31,44.458770751953125,0.0598093643784523,105.86163330078125,439.0,,601.8895263671875,100.05619049072266,30.2353572845459,208.1733856201172,1357.0
